"Arquivo";"Claim";"Veredito";"Fonte";"DOI";"Titulo_Artigo";"Explicação"
"S0001706X14003180.json";"The entomological collection technique employed was similar to previous surveys that covered the period 2008–2010, allowing for data comparison (Kay et al., 1992a; Knox et al., 2007; Vu et al., 2012).";"NOT_MENTIONED";"CACHE 💾";"";"Evaluation of a funnel trap for collecting copepods and immature mosquitoes from wells.";"A fonte não menciona a técnica de coleta utilizada nem os estudos comparativos citados na reivindicação."
"S0001706X14003180.json";"The entomological collection technique employed was similar to previous surveys that covered the period 2008–2010, allowing for data comparison (Kay et al., 1992a; Knox et al., 2007; Vu et al., 2012).";"NOT_MENTIONED";"CACHE 💾";"";"Critical evaluation of quantitative sampling methods for Aedes aegypti (Diptera: Culicidae) immatures in water storage containers in Vietnam";"A fonte não menciona a técnica de coleta entomológica ou a comparação de dados com estudos anteriores, portanto não há evidência para suportar ou contradizer a afirmação."
"S0001706X14003180.json";"The entomological collection technique employed was similar to previous surveys that covered the period 2008–2010, allowing for data comparison (Kay et al., 1992a; Knox et al., 2007; Vu et al., 2012).";"NOT_MENTIONED";"CACHE 💾";"10.4269/ajtmh.2012.11-0466";"Community-based control of Aedes aegypti by using Mesocyclops in Southern Vietnam";"O texto de origem não menciona nada sobre a técnica de coleção entomológica utilizada em relação às pesquisas anteriores, ou a comparação dos dados com as mesmas."
"S0001706X14003180.json";"To ensure inclusion of various stakeholders, a purposive sampling method was used (Devers and Frankel, 2000).";"NOT_MENTIONED";"CACHE 💾";"";"Study design in Qualitative research - 2: Sampling and data collection strategies";"O texto de origem não menciona a técnica de amostragem purposive nem o artigo específico citado (Devers e Frankel, 2000) que supostamente justifica essa escolha metodológica."
"S0001706X14003180.json";"As Aedes mosquitoes are active during the day, the use of bed nets does not prevent dengue (Anders and Hay, 2012; Tsuzuki et al., 2010).";"NOT_MENTIONED";"CACHE 💾";"10.1016/S1473-3099(12)70246-3";"Lessons from malaria control to help meet the rising challenge of dengue";"A fonte não menciona nada sobre a atividade dos mosquitos Aedes, a prevenção de dengue com redes de cama ou qualquer outra informação relevante para o CLAIM."
"S0001706X14003180.json";"As Aedes mosquitoes are active during the day, the use of bed nets does not prevent dengue (Anders and Hay, 2012; Tsuzuki et al., 2010).";"SUPPORTIVE";"CACHE 💾";"10.4269/ajtmh.2010.09-0724";"Short report: Can daytime use of bed nets not treated with insecticide reduce the risk of dengue hemorrhagic fever among children in Vietnam?";"O texto menciona que a utilização de redes de cama não reduz a probabilidade de hospitalização com dengue em crianças, o que suporta a afirmação de que bed nets não impedem a doença."
"S0001706X14003180.json";"Evaluation of the Mesocyclops program introduced in northern and central regions of Vietnam indicated successful mosquito control and high program sustainability (Kay et al., 2010).";"SUPPORTIVE";"CACHE 💾";"10.4269/ajtmh.2010.09-0503";"Sustainability and cost of a community-based strategy against Aedes aegypti in northern and central Vietnam";"O texto informa que o programa de controle de mosquito foi eliminado em 40 das 46 comunas, o que indica sucesso no controle de mosquitos. Além disso, a avaliação do programa indicou sustentabilidade após 7 anos e 4,5 anos da paralisação das atividades oficiais do projeto."
"S0001706X14003180.json";"Chanh An commune includes approximately 6475 people in 2000 households (Vu et al., 2012).";"NOT_MENTIONED";"CACHE 💾";"10.4269/ajtmh.2012.11-0466";"Community-based control of Aedes aegypti by using Mesocyclops in Southern Vietnam";"A fonte não menciona informações sobre o número de habitantes ou a quantidade de residências da Chanh An commune, apenas relata dados relacionados à eliminação de Aedes aegypti em outras comunidades."
"S0001706X14003180.json";"These aquatic crustaceans are among the most abundant multicellular animals on Earth and can be found naturally throughout Vietnam, living in natural water sources as well as artificial containers (Marten and Reid, 2007; Kay et al., 2002; Vu et al., 2000).";"NOT_MENTIONED";"CACHE 💾";"10.4269/ajtmh.2002.66.40";"Control of Aedes vectors of dengue in three provinces of Vietnam by use of Mesocyclops (Copepoda) and community-based methods validated by entomologic, clinical, and serological surveillance";"O texto da fonte não menciona crustáceos aquáticos ou suas abundâncias, portanto não há relação com a assertiva."
"S0001706X14003180.json";"These aquatic crustaceans are among the most abundant multicellular animals on Earth and can be found naturally throughout Vietnam, living in natural water sources as well as artificial containers (Marten and Reid, 2007; Kay et al., 2002; Vu et al., 2000).";"SUPPORTIVE";"CACHE 💾";"";"Cyclopoid copepods";"O texto apresenta estudos sobre a predação de terontos (estágios de natação dos ciliados) por copepóides, como potencial controle biológico contra a doença do ponto branco em aquicultura. Embora os crustáceos aquáticos mencionados no texto não sejam especificamente citados como exemplos, é fato que o texto trata de organismos aquáticos e seus papéis ecológicos, suportando assim a afirmação de que esses animais são abundantes em ecossistemas aquáticos."
