"Arquivo";"Claim";"Veredito";"Fonte";"DOI";"Titulo_Artigo";"Explicação"
"S0001706X14003180.json";"The entomological collection technique employed was similar to previous surveys that covered the period 2008–2010, allowing for data comparison (Kay et al., 1992a; Knox et al., 2007; Vu et al., 2012).";"NOT_MENTIONED";"CACHE 💾";"";"Evaluation of a funnel trap for collecting copepods and immature mosquitoes from wells.";"O texto de referência não faz menção às técnicas empregadas em estudos anteriores e tampouco menciona o período de 2008-2010."
"S0001706X14003180.json";"The entomological collection technique employed was similar to previous surveys that covered the period 2008–2010, allowing for data comparison (Kay et al., 1992a; Knox et al., 2007; Vu et al., 2012).";"NOT_MENTIONED";"CACHE 💾";"";"Critical evaluation of quantitative sampling methods for Aedes aegypti (Diptera: Culicidae) immatures in water storage containers in Vietnam";"O texto não menciona a técnica de coleta entomológica ou comparações de dados com outras pesquisas."
"S0001706X14003180.json";"The entomological collection technique employed was similar to previous surveys that covered the period 2008–2010, allowing for data comparison (Kay et al., 1992a; Knox et al., 2007; Vu et al., 2012).";"SUPPORTIVE";"CACHE 💾";"10.4269/ajtmh.2012.11-0466";"Community-based control of Aedes aegypti by using Mesocyclops in Southern Vietnam";"O texto menciona que a técnica de coleta utilizada foi semelhante às das pesquisas anteriores realizadas entre 2008-2010, o que permite a comparação de dados (sem especificar quais referências específicas foram usadas)."
"S0001706X14003180.json";"To ensure inclusion of various stakeholders, a purposive sampling method was used (Devers and Frankel, 2000).";"NOT_MENTIONED";"CACHE 💾";"";"Study design in Qualitative research - 2: Sampling and data collection strategies";"O texto de referência não menciona especificamente o método de amostragem utilizado, apenas faz menção a ""sampling"" como uma das etapas da pesquisa qualitativa."
"S0001706X14003180.json";"As Aedes mosquitoes are active during the day, the use of bed nets does not prevent dengue (Anders and Hay, 2012; Tsuzuki et al., 2010).";"NOT_MENTIONED";"CACHE 💾";"10.1016/S1473-3099(12)70246-3";"Lessons from malaria control to help meet the rising challenge of dengue";"O texto de referência não aborda a atividade dos Aedes ou a eficácia dos redes de cama contra dengue, portanto não fornece informações suficientes para avaliar a reivindicação."
"S0001706X14003180.json";"As Aedes mosquitoes are active during the day, the use of bed nets does not prevent dengue (Anders and Hay, 2012; Tsuzuki et al., 2010).";"CONTRADICTORY";"CACHE 💾";"10.4269/ajtmh.2010.09-0724";"Short report: Can daytime use of bed nets not treated with insecticide reduce the risk of dengue hemorrhagic fever among children in Vietnam?";"O texto não apoia a afirmação de que a utilização de redes de cama durante o dia não previne dengue, mas sim sugere que não há evidência de que elas sejam eficazes nesse sentido."
"S0001706X14003180.json";"Evaluation of the Mesocyclops program introduced in northern and central regions of Vietnam indicated successful mosquito control and high program sustainability (Kay et al., 2010).";"SUPPORTIVE";"CACHE 💾";"10.4269/ajtmh.2010.09-0503";"Sustainability and cost of a community-based strategy against Aedes aegypti in northern and central Vietnam";"O texto descreve a eliminação de Aedes aegypti em 40 de 46 comunas, o que indica sucesso no controle de mosquito. Além disso, avalia a manutenção desses programas após 7 e 4,5 anos da cessação das atividades do projeto formal, sugerindo alta sustentabilidade."
"S0001706X14003180.json";"Chanh An commune includes approximately 6475 people in 2000 households (Vu et al., 2012).";"NOT_MENTIONED";"CACHE 💾";"10.4269/ajtmh.2012.11-0466";"Community-based control of Aedes aegypti by using Mesocyclops in Southern Vietnam";"O texto de origem não menciona informações sobre o número de habitantes ou casas da comunidade Chanh An. As informações disponíveis se referem a outras comunidades e resultados do programa de controle de Aedes aegypti em diferentes regiões da Vietnam."
"S0001706X14003180.json";"These aquatic crustaceans are among the most abundant multicellular animals on Earth and can be found naturally throughout Vietnam, living in natural water sources as well as artificial containers (Marten and Reid, 2007; Kay et al., 2002; Vu et al., 2000).";"NOT_MENTIONED";"CACHE 💾";"10.4269/ajtmh.2002.66.40";"Control of Aedes vectors of dengue in three provinces of Vietnam by use of Mesocyclops (Copepoda) and community-based methods validated by entomologic, clinical, and serological surveillance";"O texto da fonte não faz menção a crustáceos aquáticos, sendo irrelevante para o tema de monitoramento da transmissão da dengue."
"S0001706X14003180.json";"These aquatic crustaceans are among the most abundant multicellular animals on Earth and can be found naturally throughout Vietnam, living in natural water sources as well as artificial containers (Marten and Reid, 2007; Kay et al., 2002; Vu et al., 2000).";"SUPPORTIVE";"CACHE 💾";"";"Cyclopoid copepods";"O texto de origem menciona o papel dos crustáceos aquáticos, especificamente os copépodos, na redução da infecção do parasita Ichthyophthirius multifiliis em peixes-goldfish. Embora não sejam identificados os específicos ""aquatic crustaceans"", é claro que esses animais são mencionados como uma espécie de zooplankton valioso para a biologia aquática e com potencial como agentes de controle biológico contra a doença em questionada. Além disso, o texto não nega a existência desses crustáceos em Vietnam ou em ambientes artificiais, nem é contraditório em relação à abundância da espécie no território vietnamita."
"S0001706X14003180.json";"These aquatic crustaceans are among the most abundant multicellular animals on Earth and can be found naturally throughout Vietnam, living in natural water sources as well as artificial containers (Marten and Reid, 2007; Kay et al., 2002; Vu et al., 2000).";"SUPPORTIVE";"CACHE 💾";"10.4269/ajtmh.2000.62.5";"National progress in dengue vector control in Vietnam: Survey for Mesocyclops (Copepoda), Micronecta (Corixidae), and fish as biological control agents";"A fonte textual menciona a abundância de Mesocyclops spp. local, o que é consistente com a afirmação de que esses crustáceos aquáticos são muito comuns e podem ser encontrados naturalmente em Vietnam."
"S0001706X14003180.json";"This finding is consistent with a previous study in the same area (Vu et al., 2012).";"SUPPORTIVE";"CACHE 💾";"10.4269/ajtmh.2012.11-0466";"Community-based control of Aedes aegypti by using Mesocyclops in Southern Vietnam";"O texto apresenta resultados de um estudo que eliminaram Aedes aegypti em 40 de 46 communes no Vietnã, o que é consistente com os achados da pesquisa de Vu et al. (2012) mencionada na afirmação."
"S0001706X14003180.json";"As there is no vaccine or treatment for dengue, prevention and control of this disease depend on vector control to reduce viral transmission (Guzman and Kouri, 2002).";"SUPPORTIVE";"CACHE 💾";"10.1016/S1473-3099(01)00171-2";"Dengue: An update";"A fonte textual menciona que a única alternativa atual para controlar a doença é através do controle de seu vetor, o Aedes aegypti, o que está em conformidade com a afirmação original sobre a dependência da prevenção e controle da dengue na redução da transmissão viral por meio do controle dos vetores."
"S0001706X14003180.json";"From 1998, the Vietnamese government has experimented with copepod Mesocyclops as a biological control agent for dengue (Kay and Vu, 2005; Vu et al., 1998).";"NOT_MENTIONED";"CACHE 💾";"10.1016/S0140-6736(05)17913-6";"New strategy against Aedes aegypti in Vietnam";"O texto não menciona a experimentação com copepodes Mesocyclops como agente de controle biológico para dengue, apenas sugere que uma estratégia de controle de mosquitos é sustentável na Vietnã e aplicável em certas áreas."
"S0001706X14003180.json";"From 1998, the Vietnamese government has experimented with copepod Mesocyclops as a biological control agent for dengue (Kay and Vu, 2005; Vu et al., 1998).";"SUPPORTIVE";"CACHE 💾";"";"Eradication of Aedes aegypti from a village in Vietnam, using copepods and community participation";"O texto descreve a utilização de copepóides da espécie Mesocyclops como controle biológico para Aedes aegypti, principal vetor das vírus da dengue em Vietnã do Norte. Isto apoia a afirmação de que o governo vietnamita experimentou a utilização de Mesocyclops contra a dengue a partir de 1998."
"S0001706X14003180.json";"While misclassification of some immature mosquitoes could be an issue, it is unlikely given the experience and expertise of IP and the known predominance of Aedes aegypti in the study area (Higa et al., 2010; Kawada et al., 2009).";"NOT_MENTIONED";"CACHE 💾";"10.2987/09-5945.1";"Geographic distribution of Aedes aegypti and Aedes albopictus collected from used tires in Vietnam";"O texto de fonte não discute a classificação de mosquitos imaturos ou a experiência e expertise da IP, limitando-se a sugerir que a coleta de larvas em pneus usados pode ser útil para avaliar a distribuição atual de mosquitos transmissores do dengue."
"S0001706X14003180.json";"While misclassification of some immature mosquitoes could be an issue, it is unlikely given the experience and expertise of IP and the known predominance of Aedes aegypti in the study area (Higa et al., 2010; Kawada et al., 2009).";"SUPPORTIVE";"CACHE 💾";"10.1371/journal.pntd.0000391";"Nationwide investigation of the pyrethroid susceptibility of mosquito larvae collected from used tires in Vietnam";"O texto descreve a pesquisa realizada na Vietnã sobre a resistência de Aedes aegypti às piretróides e demonstra que essa espécie tem uma redução significativa na suscetibilidade ao d-alletrin, especialmente em áreas mais ao sul do país. Isso apoia a afirmação de que a experiência e o conhecimento da IP (aparentemente se referindo à organização ou equipe) sobre Aedes aegypti podem reduzir a possibilidade de classificação errada de mosquitos imaturos, dado a predominância desse gênero na área estudada."
